window_id,race_id,split,proposed_split,attacker_driver,target_driver_fixed,decision_lap,endpoint_lap,decision_session_time_sec,endpoint_session_time_sec,horizon_duration_sec,decision_boundary_utc,endpoint_boundary_utc,supporting_event_id,event_key,event_key_type,candidate_universe_status,candidate_classification,candidate_review_status,last_confirmed_classified_order_before,first_confirmed_classified_order_after,physical_track_order_status,event_time_interval_start_utc,event_time_interval_end_utc,timestamp_uncertainty_sec,pit_status_evidence,race_control_status_evidence,telemetry_evidence,source_records,source_urls,source_sha256s,label_basis,verified_on_track_pass,review_status
d09e1e6b9ef30d384f04,2018:Abu Dhabi Grand Prix:Race,train,development_train,ALO,SIR,31,32,5504.361,5610.704,106.343,2018-11-25T14:11:44.434000000,2018-11-25T14:13:30.777000000,8dd142c850a714006e351602,2018:Abu Dhabi Grand Prix:Race|ALO|SIR|31|32,INHERITED_CANDIDATE_ID,MATCHED_TO_INHERITED_CANDIDATE,UNRESOLVED,AUTOMATED_REVIEW_UNREVIEWED,ALO:17;SIR:16,ALO:16;SIR:17,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-11-25T14:11:44.434000+00:00,2018-11-25T14:13:30.777000+00:00,2.348,NO_RELEVANT_PIT_ROW_FOUND_IN_CONTEXT,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",event_review_37.csv + candidate source,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/ALO/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/SIR/laptimes.json,7f887515bb0ae6d58c16370a6ba6f05c18862240776aa35b33e9c1b843f1e64b|8bf667fa337ecb5154e119d5c81f2d0a01cbe9956c6aa4fa11fd9eb378cd68ab,FIXED_PAIR_CLASSIFIED_ORDER_REVERSED_AT_NEXT_LAP_BOUNDARY,FALSE,AUTOMATED_REVIEW_UNREVIEWED
e60f2b7ebd0e7a7ee6bc,2018:Abu Dhabi Grand Prix:Race,train,development_train,ERI,RAI,6,7,2753.401,2861.388,107.987,2018-11-25T13:25:53.474000000,2018-11-25T13:27:41.461000000,7518804d32b11e522e6094d7,2018:Abu Dhabi Grand Prix:Race|ERI|RAI|6|7,INHERITED_CANDIDATE_ID,MATCHED_TO_INHERITED_CANDIDATE,UNRESOLVED,AUTOMATED_REVIEW_UNREVIEWED,ERI:12;RAI:11,ERI:10;RAI:19,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-11-25T13:25:53.474000+00:00,2018-11-25T13:27:41.449000+00:00,7.407,NO_RELEVANT_PIT_ROW_FOUND_IN_CONTEXT,RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",event_review_37.csv + candidate source,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/ERI/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/RAI/laptimes.json,5339db1bac1abb62aab6f6b747fd302dcc2b8f438d0362a76a36abb8e26fbe74|a8eb1a92e0f7176a03f8292c6839f75a596e5318682d03e8a7619e209d7c1ca5,FIXED_PAIR_CLASSIFIED_ORDER_REVERSED_AT_NEXT_LAP_BOUNDARY,FALSE,AUTOMATED_REVIEW_UNREVIEWED
3cee234d462185e69729,2018:Abu Dhabi Grand Prix:Race,train,development_train,GAS,SIR,30,31,5396.391,5502.631,106.24,2018-11-25T14:09:36.727000000,2018-11-25T14:11:42.704000000,329394bbcba7c66a58c8e143,2018:Abu Dhabi Grand Prix:Race|GAS|SIR|30|31,INHERITED_CANDIDATE_ID,MATCHED_TO_INHERITED_CANDIDATE,UNRESOLVED,AUTOMATED_REVIEW_UNREVIEWED,GAS:16;SIR:15,GAS:15;SIR:16,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-11-25T14:09:56.464000+00:00,2018-11-25T14:11:42.704000+00:00,20.374,NO_RELEVANT_PIT_ROW_FOUND_IN_CONTEXT,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",event_review_37.csv + candidate source,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/GAS/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/SIR/laptimes.json,873fcdf7f4f784d7d8d1a6db6eb1f9c9cbecf946958ac62f767c99a64e94f0d5|8bf667fa337ecb5154e119d5c81f2d0a01cbe9956c6aa4fa11fd9eb378cd68ab,FIXED_PAIR_CLASSIFIED_ORDER_REVERSED_AT_NEXT_LAP_BOUNDARY,FALSE,AUTOMATED_REVIEW_UNREVIEWED
c7dfcb99102ef3ca7efc,2018:Abu Dhabi Grand Prix:Race,train,development_train,GAS,HAR,32,33,5609.084,5714.08,104.996,2018-11-25T14:13:29.157000000,2018-11-25T14:15:14.153000000,e179152512c0ab137983e08e,2018:Abu Dhabi Grand Prix:Race|GAS|HAR|32|33,INHERITED_CANDIDATE_ID,MATCHED_TO_INHERITED_CANDIDATE,UNRESOLVED,AUTOMATED_REVIEW_UNREVIEWED,GAS:15;HAR:14,GAS:14;HAR:15,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-11-25T14:13:29.157000+00:00,2018-11-25T14:15:14.153000+00:00,2.826,NO_RELEVANT_PIT_ROW_FOUND_IN_CONTEXT,RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",event_review_37.csv + candidate source,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/GAS/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/HAR/laptimes.json,873fcdf7f4f784d7d8d1a6db6eb1f9c9cbecf946958ac62f767c99a64e94f0d5|f7084b762a187ae243bdb306c2642cc7496d71a2ac29f8b827372fd532691d4c,FIXED_PAIR_CLASSIFIED_ORDER_REVERSED_AT_NEXT_LAP_BOUNDARY,FALSE,AUTOMATED_REVIEW_UNREVIEWED
3e12fc7321edaf130c5c,2018:Abu Dhabi Grand Prix:Race,train,development_train,GAS,VAN,34,35,5820.288,5926.498,106.21,2018-11-25T14:17:00.361000000,2018-11-25T14:18:46.571000000,ddf49d8960ae3f19bdb9dcc2,2018:Abu Dhabi Grand Prix:Race|GAS|VAN|34|35,INHERITED_CANDIDATE_ID,MATCHED_TO_INHERITED_CANDIDATE,OTHER_POSITION_CHANGE,AUTOMATED_REVIEW_UNREVIEWED,GAS:14;VAN:13,GAS:13;VAN:15,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-11-25T14:17:00.361000+00:00,2018-11-25T14:18:46.571000+00:00,1.597,PIT_LAP_OVERLAP_RECORDED_BUT_TIME_OF_DAY_ONLY,RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",event_review_37.csv + candidate source,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/GAS/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/VAN/laptimes.json,873fcdf7f4f784d7d8d1a6db6eb1f9c9cbecf946958ac62f767c99a64e94f0d5|cd42b9b0e90776b533f8ba7f87a857bc59a9f5c1b9616732be8fb6b9d4b0a1e5,FIXED_PAIR_CLASSIFIED_ORDER_REVERSED_AT_NEXT_LAP_BOUNDARY,FALSE,AUTOMATED_REVIEW_UNREVIEWED
f07e755965ad6aa8b225,2018:Abu Dhabi Grand Prix:Race,train,development_train,GRO,SIR,10,11,3241.751,3349.118,107.367,2018-11-25T13:34:01.824000000,2018-11-25T13:35:49.191000000,91a8051e34ae6c24495085b2,2018:Abu Dhabi Grand Prix:Race|GRO|SIR|10|11,INHERITED_CANDIDATE_ID,MATCHED_TO_INHERITED_CANDIDATE,UNRESOLVED,AUTOMATED_REVIEW_UNREVIEWED,GRO:17;SIR:16,GRO:16;SIR:17,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-11-25T13:34:01.824000+00:00,2018-11-25T13:35:49.191000+00:00,1.261,NO_RELEVANT_PIT_ROW_FOUND_IN_CONTEXT,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",event_review_37.csv + candidate source,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/GRO/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/SIR/laptimes.json,34e15c8843bfa744bf210ec674343baeefd3028f3d4b5c4590dc52266d4c46d2|8bf667fa337ecb5154e119d5c81f2d0a01cbe9956c6aa4fa11fd9eb378cd68ab,FIXED_PAIR_CLASSIFIED_ORDER_REVERSED_AT_NEXT_LAP_BOUNDARY,FALSE,AUTOMATED_REVIEW_UNREVIEWED
f14aca85b068b9c88cb7,2018:Abu Dhabi Grand Prix:Race,train,development_train,GRO,VAN,31,32,5498.968,5605.719,106.751,2018-11-25T14:11:39.041000000,2018-11-25T14:13:25.792000000,eddb6ba316cb4248ccfc247e,2018:Abu Dhabi Grand Prix:Race|GRO|VAN|31|32,INHERITED_CANDIDATE_ID,MATCHED_TO_INHERITED_CANDIDATE,UNRESOLVED,AUTOMATED_REVIEW_UNREVIEWED,GRO:13;VAN:12,GRO:12;VAN:13,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-11-25T14:11:39.041000+00:00,2018-11-25T14:13:25.792000+00:00,2.744,NO_RELEVANT_PIT_ROW_FOUND_IN_CONTEXT,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",event_review_37.csv + candidate source,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/GRO/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/VAN/laptimes.json,34e15c8843bfa744bf210ec674343baeefd3028f3d4b5c4590dc52266d4c46d2|cd42b9b0e90776b533f8ba7f87a857bc59a9f5c1b9616732be8fb6b9d4b0a1e5,FIXED_PAIR_CLASSIFIED_ORDER_REVERSED_AT_NEXT_LAP_BOUNDARY,FALSE,AUTOMATED_REVIEW_UNREVIEWED
abd3ea2119ee5a05423a,2018:Abu Dhabi Grand Prix:Race,train,development_train,HAR,SIR,24,25,4752.455,4859.924,107.469,2018-11-25T13:59:12.528000000,2018-11-25T14:00:59.997000000,0bb2d88d89f55165e74f3ff6,2018:Abu Dhabi Grand Prix:Race|HAR|SIR|24|25,INHERITED_CANDIDATE_ID,MATCHED_TO_INHERITED_CANDIDATE,UNRESOLVED,AUTOMATED_REVIEW_UNREVIEWED,HAR:18;SIR:17,HAR:16;SIR:17,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-11-25T13:59:12.528000+00:00,2018-11-25T14:00:59.997000+00:00,1.112,NO_RELEVANT_PIT_ROW_FOUND_IN_CONTEXT,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",event_review_37.csv + candidate source,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/HAR/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/SIR/laptimes.json,8bf667fa337ecb5154e119d5c81f2d0a01cbe9956c6aa4fa11fd9eb378cd68ab|f7084b762a187ae243bdb306c2642cc7496d71a2ac29f8b827372fd532691d4c,FIXED_PAIR_CLASSIFIED_ORDER_REVERSED_AT_NEXT_LAP_BOUNDARY,FALSE,AUTOMATED_REVIEW_UNREVIEWED
6c407d1a8dbc0ec01acf,2018:Abu Dhabi Grand Prix:Race,train,development_train,LEC,MAG,9,10,3130.995,3236.634,105.639,2018-11-25T13:32:11.068000000,2018-11-25T13:33:56.707000000,b4ab97362b46b6c662956341,2018:Abu Dhabi Grand Prix:Race|LEC|MAG|9|10,INHERITED_CANDIDATE_ID,MATCHED_TO_INHERITED_CANDIDATE,UNRESOLVED,AUTOMATED_REVIEW_UNREVIEWED,LEC:13;MAG:12,LEC:12;MAG:13,NOT_AVAILABLE_FROM_FASTF1_POSITION_XYZ,2018-11-25T13:32:11.068000+00:00,2018-11-25T13:33:56.707000+00:00,2.037,NO_RELEVANT_PIT_ROW_FOUND_IN_CONTEXT,NO_RC_RECORD_ON_DECISION_OR_ENDPOINT_LAP,"FastF1 car_data and pos_data present for selected race; pos_data contains XYZ/status, not classified running order or pass timestamp",event_review_37.csv + candidate source,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/LEC/laptimes.json|https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/Abu%20Dhabi%20Grand%20Prix/Race/MAG/laptimes.json,325ea9f7290b9c6d9572005cfc0c216c4cc5311b5ac2c54b54b66c7191620685|8c2548f37cf366d2b110ab249593efacc597d59e45fa2c2d7512fbbe0bc26435,FIXED_PAIR_CLASSIFIED_ORDER_REVERSED_AT_NEXT_LAP_BOUNDARY,FALSE,AUTOMATED_REVIEW_UNREVIEWED
7cd78d8649efe2fb5af4,2018:Abu Dhabi Grand Prix:Race,train,development_train,LEC,ALO,25,26,4846.902,4953.303,106.401,2018-11-25T14:00:46.975000000,2018-11-25T14:02:33.376000000,,2018:Abu Dhabi Grand Prix:Race|LEC|ALO|25|26,BOUNDARY_PROXY_KEY,OUTSIDE_INHERITED_CANDIDATE_UNIVERSE,OUTSIDE_CANDIDATE_UNIVERSE,AUTOMATED_PROXY_LINK_UNREVIEWED,LEC:10;ALO:9,LEC:9;ALO:10,NOT_AVAILABLE_FROM_BOUNDARY_LAPTIMES,2018-11-25T14:00:46.975000000,2018-11-25T14:02:33.376000000,BOUNDARY_INTERVAL_ONLY_NOT_EXACT_PASS_TIME,NOT_IN_INHERITED_CANDIDATE_REVIEW,NOT_IN_INHERITED_CANDIDATE_REVIEW,BOUNDARY_TELEMETRY_DOES_NOT_ESTABLISH_PASS,prediction_windows_37.csv.gz + laptime_source_inventory_37.csv,,,FIXED_PAIR_CLASSIFIED_ORDER_REVERSED_AT_NEXT_LAP_BOUNDARY,FALSE,AUTOMATED_PROXY_LINK_UNREVIEWED
