example_id,race_id,split,year,event,attacker_driver,target_driver,decision_lap,decision_sample_index,decision_time_session_sec,decision_time_utc,horizon_end_session_sec,horizon_end_utc,target_identity_status,asof_status,asof_raw_order_status,asof_target_driver,asof_attacker_position,asof_target_position,asof_records_used,asof_order_rule,pair_before_attacker_position,pair_before_target_position,pair_after_attacker_position,pair_after_target_position,pit_horizon_status,pit_event_evidence,race_control_decision_state,race_control_outcome_state,race_control_status,proxy_label,new_proxy_label,proxy_label_class,new_label_class,event_id,exclusion_reason,new_reconciliation_reason,attacker_laptime_source_url,target_laptime_source_url,review_selection_reason,automated_consistency_review
b41adc1d956061378a6e,2018:French Grand Prix:Race,train,2018,French Grand Prix,RIC,SAI,9,0,1475.911,2018-06-24T14:30:35.937000+00:00,1574.192,2018-06-24T14:32:14.218000+00:00,RECONSTRUCTED_FROM_PRIOR_LAP_ORDER,ASOF_TARGET_MATCHES,UNIQUE_CONTIGUOUS_COMPLETED_ORDER_ASOF,SAI,4,3,18,latest completed laptime record with session_end_sec <= decision time + 1e-6,4,3,3,4,NO_EVENT_CONFIRMED_FOR_HORIZON,,GREEN,GREEN,EXPLICIT_STATE_AT_OR_BEFORE_TIME|EXPLICIT_STATE_AT_OR_BEFORE_TIME,1,1.0,POSITIVE_PROXY,POSITIVE_PROXY_ASOF,c010ee24b8d3fe15e051,,ASOF_TARGET_SUPPORTED,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/French%20Grand%20Prix/Race/RIC/laptimes.json,https://raw.githubusercontent.com/TracingInsights/2018/ec6317adac6786e38b5d35e008f4b87926a3a55c/French%20Grand%20Prix/Race/SAI/laptimes.json,ALL_REPORTED_POSITIVES,AUTOMATED_FIELDS_PRESENT_REVIEWER_PENDING
2640063be36fad4dc440,2019:Azerbaijan Grand Prix:Race,train,2019,Azerbaijan Grand Prix,LEC,VER,9,0,2899.095,2019-04-28T12:28:19.342000+00:00,3006.852,2019-04-28T12:30:07.099000+00:00,RECONSTRUCTED_FROM_PRIOR_LAP_ORDER,ASOF_TARGET_MATCHES,UNIQUE_CONTIGUOUS_COMPLETED_ORDER_ASOF,VER,5,4,20,latest completed laptime record with session_end_sec <= decision time + 1e-6,5,4,4,5,NO_EVENT_CONFIRMED_FOR_HORIZON,,GREEN,GREEN,EXPLICIT_STATE_AT_OR_BEFORE_TIME|EXPLICIT_STATE_AT_OR_BEFORE_TIME,1,1.0,POSITIVE_PROXY,POSITIVE_PROXY_ASOF,28f13f794ab0dd5931fb,,ASOF_TARGET_SUPPORTED,https://raw.githubusercontent.com/TracingInsights/2019/38741496a2d3736954069c3301e33737ffb3d777/Azerbaijan%20Grand%20Prix/Race/LEC/laptimes.json,https://raw.githubusercontent.com/TracingInsights/2019/38741496a2d3736954069c3301e33737ffb3d777/Azerbaijan%20Grand%20Prix/Race/VER/laptimes.json,ALL_REPORTED_POSITIVES,AUTOMATED_FIELDS_PRESENT_REVIEWER_PENDING
53e1d27d1b5f405092a7,2019:Chinese Grand Prix:Race,train,2019,Chinese Grand Prix,RAI,HUL,10,0,2938.26,2019-04-14T06:29:00.135000+00:00,3038.199,2019-04-14T06:30:40.074000+00:00,RECONSTRUCTED_FROM_PRIOR_LAP_ORDER,ASOF_TARGET_MATCHES,UNIQUE_CONTIGUOUS_COMPLETED_ORDER_ASOF,HUL,10,9,20,latest completed laptime record with session_end_sec <= decision time + 1e-6,10,9,9,10,NO_EVENT_CONFIRMED_FOR_HORIZON,,GREEN,GREEN,EXPLICIT_STATE_AT_OR_BEFORE_TIME|EXPLICIT_STATE_AT_OR_BEFORE_TIME,1,1.0,POSITIVE_PROXY,POSITIVE_PROXY_ASOF,80c1c6acdf4222c57e76,,ASOF_TARGET_SUPPORTED,https://raw.githubusercontent.com/TracingInsights/2019/38741496a2d3736954069c3301e33737ffb3d777/Chinese%20Grand%20Prix/Race/RAI/laptimes.json,https://raw.githubusercontent.com/TracingInsights/2019/38741496a2d3736954069c3301e33737ffb3d777/Chinese%20Grand%20Prix/Race/HUL/laptimes.json,ALL_REPORTED_POSITIVES,AUTOMATED_FIELDS_PRESENT_REVIEWER_PENDING
112fcd1cd5e288aa7e86,2019:Hungarian Grand Prix:Race,train,2019,Hungarian Grand Prix,MAG,RUS,12,0,2918.549,2019-08-04T13:28:38.578000+00:00,3002.7,2019-08-04T13:30:02.729000+00:00,RECONSTRUCTED_FROM_PRIOR_LAP_ORDER,ASOF_TARGET_MATCHES,UNIQUE_CONTIGUOUS_COMPLETED_ORDER_ASOF,RUS,15,14,20,latest completed laptime record with session_end_sec <= decision time + 1e-6,15,14,14,15,NO_EVENT_CONFIRMED_FOR_HORIZON,,GREEN,GREEN,EXPLICIT_STATE_AT_OR_BEFORE_TIME|EXPLICIT_STATE_AT_OR_BEFORE_TIME,1,1.0,POSITIVE_PROXY,POSITIVE_PROXY_ASOF,b686778e8888f5fb8013,,ASOF_TARGET_SUPPORTED,https://raw.githubusercontent.com/TracingInsights/2019/38741496a2d3736954069c3301e33737ffb3d777/Hungarian%20Grand%20Prix/Race/MAG/laptimes.json,https://raw.githubusercontent.com/TracingInsights/2019/38741496a2d3736954069c3301e33737ffb3d777/Hungarian%20Grand%20Prix/Race/RUS/laptimes.json,ALL_REPORTED_POSITIVES,AUTOMATED_FIELDS_PRESENT_REVIEWER_PENDING
a6f9c2784726cfce5d5e,2020:Abu Dhabi Grand Prix:Race,train,2020,Abu Dhabi Grand Prix,PER,LAT,2,0,2127.378,2020-12-13T13:15:27.575000+00:00,2234.932,2020-12-13T13:17:15.129000+00:00,RECONSTRUCTED_FROM_PRIOR_LAP_ORDER,ASOF_TARGET_MATCHES,UNIQUE_CONTIGUOUS_COMPLETED_ORDER_ASOF,LAT,20,19,20,latest completed laptime record with session_end_sec <= decision time + 1e-6,20,19,19,20,NO_EVENT_CONFIRMED_FOR_HORIZON,,GREEN,GREEN,EXPLICIT_STATE_AT_OR_BEFORE_TIME|EXPLICIT_STATE_AT_OR_BEFORE_TIME,1,1.0,POSITIVE_PROXY,POSITIVE_PROXY_ASOF,cd639991e453b63d5747,,ASOF_TARGET_SUPPORTED,https://raw.githubusercontent.com/TracingInsights/2020/264ae1db8f1381540fb839c89f7b249ae2d8957d/Abu%20Dhabi%20Grand%20Prix/Race/PER/laptimes.json,https://raw.githubusercontent.com/TracingInsights/2020/264ae1db8f1381540fb839c89f7b249ae2d8957d/Abu%20Dhabi%20Grand%20Prix/Race/LAT/laptimes.json,ALL_REPORTED_POSITIVES,AUTOMATED_FIELDS_PRESENT_REVIEWER_PENDING
f49a807bb77441f7c33a,2020:Italian Grand Prix:Race,train,2020,Italian Grand Prix,VET,RUS,2,0,2105.297,2020-09-06T13:15:05.493000+00:00,2193.23,2020-09-06T13:16:33.426000+00:00,RECONSTRUCTED_FROM_PRIOR_LAP_ORDER,ASOF_TARGET_MATCHES,UNIQUE_CONTIGUOUS_COMPLETED_ORDER_ASOF,RUS,18,17,18,latest completed laptime record with session_end_sec <= decision time + 1e-6,18,17,17,18,NO_EVENT_CONFIRMED_FOR_HORIZON,,GREEN,GREEN,EXPLICIT_STATE_AT_OR_BEFORE_TIME|EXPLICIT_STATE_AT_OR_BEFORE_TIME,1,1.0,POSITIVE_PROXY,POSITIVE_PROXY_ASOF,c08407ef834af889fa6a,,ASOF_TARGET_SUPPORTED,https://raw.githubusercontent.com/TracingInsights/2020/264ae1db8f1381540fb839c89f7b249ae2d8957d/Italian%20Grand%20Prix/Race/VET/laptimes.json,https://raw.githubusercontent.com/TracingInsights/2020/264ae1db8f1381540fb839c89f7b249ae2d8957d/Italian%20Grand%20Prix/Race/RUS/laptimes.json,ALL_REPORTED_POSITIVES,AUTOMATED_FIELDS_PRESENT_REVIEWER_PENDING
ab19103fa577b1889dc1,2020:Russian Grand Prix:Race,train,2020,Russian Grand Prix,RAI,LAT,9,0,3167.637,2020-09-27T11:32:47.691000+00:00,3272.447,2020-09-27T11:34:32.501000+00:00,RECONSTRUCTED_FROM_PRIOR_LAP_ORDER,ASOF_TARGET_MATCHES,UNIQUE_CONTIGUOUS_COMPLETED_ORDER_ASOF,LAT,15,14,18,latest completed laptime record with session_end_sec <= decision time + 1e-6,15,14,14,15,NO_EVENT_CONFIRMED_FOR_HORIZON,,GREEN,GREEN,EXPLICIT_STATE_AT_OR_BEFORE_TIME|EXPLICIT_STATE_AT_OR_BEFORE_TIME,1,1.0,POSITIVE_PROXY,POSITIVE_PROXY_ASOF,b83058a3cf470ba01d59,,ASOF_TARGET_SUPPORTED,https://raw.githubusercontent.com/TracingInsights/2020/264ae1db8f1381540fb839c89f7b249ae2d8957d/Russian%20Grand%20Prix/Race/RAI/laptimes.json,https://raw.githubusercontent.com/TracingInsights/2020/264ae1db8f1381540fb839c89f7b249ae2d8957d/Russian%20Grand%20Prix/Race/LAT/laptimes.json,ALL_REPORTED_POSITIVES,AUTOMATED_FIELDS_PRESENT_REVIEWER_PENDING
481abc9fa0eac66f649a,2021:Austrian Grand Prix:Race,validation,2021,Austrian Grand Prix,SAI,RUS,12,0,4610.577,2021-07-04T13:17:50.589000+00:00,4681.256,2021-07-04T13:19:01.268000+00:00,RECONSTRUCTED_FROM_PRIOR_LAP_ORDER,ASOF_TARGET_MATCHES,UNIQUE_CONTIGUOUS_COMPLETED_ORDER_ASOF,RUS,13,12,19,latest completed laptime record with session_end_sec <= decision time + 1e-6,13,12,12,13,NO_EVENT_CONFIRMED_FOR_HORIZON,,GREEN,GREEN,EXPLICIT_STATE_AT_OR_BEFORE_TIME|EXPLICIT_STATE_AT_OR_BEFORE_TIME,1,1.0,POSITIVE_PROXY,POSITIVE_PROXY_ASOF,24dd483fbadf2e4a9e6c,,ASOF_TARGET_SUPPORTED,https://raw.githubusercontent.com/TracingInsights/2021/194dae5f5c876b0f8f80f176acd196e124dc2c0a/Austrian%20Grand%20Prix/Race/SAI/laptimes.json,https://raw.githubusercontent.com/TracingInsights/2021/194dae5f5c876b0f8f80f176acd196e124dc2c0a/Austrian%20Grand%20Prix/Race/RUS/laptimes.json,ALL_REPORTED_POSITIVES,AUTOMATED_FIELDS_PRESENT_REVIEWER_PENDING
25e404d63980bce6de1d,2021:Bahrain Grand Prix:Race,validation,2021,Bahrain Grand Prix,PER,OCO,10,0,3262.609,2021-03-28T15:24:22.619000+00:00,3359.397,2021-03-28T15:25:59.407000+00:00,RECONSTRUCTED_FROM_PRIOR_LAP_ORDER,ASOF_TARGET_MATCHES,UNIQUE_CONTIGUOUS_COMPLETED_ORDER_ASOF,OCO,13,12,19,latest completed laptime record with session_end_sec <= decision time + 1e-6,13,12,12,13,NO_EVENT_CONFIRMED_FOR_HORIZON,,GREEN,GREEN,EXPLICIT_STATE_AT_OR_BEFORE_TIME|EXPLICIT_STATE_AT_OR_BEFORE_TIME,1,1.0,POSITIVE_PROXY,POSITIVE_PROXY_ASOF,c3326e8614085fffb5b5,,ASOF_TARGET_SUPPORTED,https://raw.githubusercontent.com/TracingInsights/2021/194dae5f5c876b0f8f80f176acd196e124dc2c0a/Bahrain%20Grand%20Prix/Race/PER/laptimes.json,https://raw.githubusercontent.com/TracingInsights/2021/194dae5f5c876b0f8f80f176acd196e124dc2c0a/Bahrain%20Grand%20Prix/Race/OCO/laptimes.json,ALL_REPORTED_POSITIVES,AUTOMATED_FIELDS_PRESENT_REVIEWER_PENDING
c19e2293a301b316a554,2021:Emilia Romagna Grand Prix:Race,validation,2021,Emilia Romagna Grand Prix,STR,GAS,11,0,3217.727,2021-04-18T13:23:37.746000+00:00,3312.95,2021-04-18T13:25:12.969000+00:00,RECONSTRUCTED_FROM_PRIOR_LAP_ORDER,ASOF_TARGET_MATCHES,UNIQUE_CONTIGUOUS_COMPLETED_ORDER_ASOF,GAS,9,8,19,latest completed laptime record with session_end_sec <= decision time + 1e-6,9,8,8,9,NO_EVENT_CONFIRMED_FOR_HORIZON,,GREEN,GREEN,EXPLICIT_STATE_AT_OR_BEFORE_TIME|EXPLICIT_STATE_AT_OR_BEFORE_TIME,1,1.0,POSITIVE_PROXY,POSITIVE_PROXY_ASOF,f3316fd181aa5ad6a7ad,,ASOF_TARGET_SUPPORTED,https://raw.githubusercontent.com/TracingInsights/2021/194dae5f5c876b0f8f80f176acd196e124dc2c0a/Emilia%20Romagna%20Grand%20Prix/Race/STR/laptimes.json,https://raw.githubusercontent.com/TracingInsights/2021/194dae5f5c876b0f8f80f176acd196e124dc2c0a/Emilia%20Romagna%20Grand%20Prix/Race/GAS/laptimes.json,ALL_REPORTED_POSITIVES,AUTOMATED_FIELDS_PRESENT_REVIEWER_PENDING
